Female Conceptualization Ratio,Male Conceptualization Ratio
1.00,0.00
1.00,1.00
1.00,1.00
1.00,0.50
1.00,1.00
1.00,0.75
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.40
1.00,0.50
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.67
1.00,1.00
1.00,0.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.50
1.00,0.50
1.00,0.33
1.00,0.67
1.00,0.33
1.00,0.00
1.00,1.00
1.00,1.00
1.00,0.50
1.00,0.67
1.00,0.40
1.00,0.40
1.00,0.67
1.00,1.00
1.00,0.75
1.00,1.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.80
1.00,1.00
1.00,0.67
1.00,0.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.50
1.00,0.50
1.00,1.00
1.00,0.50
1.00,0.00
1.00,0.50
1.00,1.00
1.00,1.00
1.00,0.50
1.00,1.00
1.00,0.67
1.00,0.50
1.00,1.00
1.00,1.00
1.00,0.00
1.00,0.40
1.00,0.50
1.00,1.00
1.00,0.50
1.00,0.20
1.00,0.33
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.25
1.00,0.50
1.00,1.00
1.00,0.33
1.00,1.00
1.00,1.00
1.00,0.67
1.00,1.00
1.00,0.50
1.00,0.50
1.00,0.67
1.00,1.00
1.00,0.33
1.00,0.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.75
1.00,0.33
1.00,1.00
1.00,1.00
1.00,0.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,0.50
1.00,0.20
1.00,1.00
1.00,0.00
1.00,0.75
1.00,0.33
1.00,1.00
1.00,0.00
1.00,1.00
1.00,0.50
1.00,1.00
1.00,0.40
1.00,1.00
1.00,1.00
1.00,0.40
1.00,0.67
1.00,0.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.00
1.00,0.80
1.00,0.00
1.00,0.92
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.33
1.00,0.83
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.00
1.00,0.75
1.00,0.50
1.00,0.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,0.75
1.00,1.00
1.00,0.40
1.00,0.00
1.00,0.25
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.75
1.00,0.00
1.00,0.00
1.00,0.67
1.00,0.40
1.00,0.25
1.00,0.50
1.00,1.00
1.00,1.00
1.00,0.00
1.00,1.00
1.00,1.00
1.00,0.50
1.00,0.50
1.00,0.67
1.00,1.00
1.00,1.00
1.00,0.50
1.00,0.67
1.00,1.00
1.00,0.67
1.00,1.00
1.00,0.50
1.00,1.00
1.00,1.00
1.00,1.00
1.00,0.67
1.00,0.83
1.00,1.00
1.00,0.50
1.00,1.00
0.80,0.38
0.75,0.00
0.67,0.50
0.67,0.75
0.67,1.00
0.67,0.00
0.67,1.00
0.67,1.00
0.67,0.50
0.67,0.00
0.67,0.83
0.67,1.00
0.67,0.33
0.67,0.33
0.50,0.00
0.50,0.00
0.50,0.54
0.50,1.00
0.50,0.20
0.50,0.00
0.50,0.33
0.50,0.50
0.50,0.00
0.50,0.00
0.50,0.33
0.50,1.00
0.50,0.00
0.50,0.00
0.50,0.00
0.50,0.40
0.50,0.00
0.50,1.00
0.50,0.00
0.50,0.33
0.50,0.25
0.50,1.00
0.50,0.00
0.50,0.50
0.50,0.00
0.50,0.50
0.50,0.50
0.50,0.33
0.50,0.00
0.50,0.00
0.50,1.00
0.50,0.00
0.50,0.20
0.50,0.00
0.50,0.00
0.50,0.33
0.50,1.00
0.33,0.00
0.33,1.00
0.33,0.00
0.33,0.00
0.33,0.00
0.33,0.50
0.33,0.00
0.33,0.50
0.14,0.20
0.00,0.33
0.00,0.50
0.00,0.33
0.00,0.50
0.00,0.33
0.00,0.50
0.00,0.33
0.00,0.75
0.00,0.25
0.00,0.25
0.00,0.25
0.00,0.50
0.00,0.33
0.00,0.67
0.00,0.67
0.00,0.67
0.00,0.17
0.00,0.67
0.00,0.20
0.00,1.00
0.00,0.50
0.00,0.50
0.00,0.25
0.00,0.50
0.00,0.33
0.00,0.00
0.00,1.00
0.00,0.67
0.00,0.67
0.00,0.17
0.00,0.67
0.00,1.00
0.00,0.67
0.00,0.50
0.00,0.50
0.00,0.67
0.00,0.50
0.00,1.00
0.00,0.50
0.00,0.33
0.00,0.00
0.00,0.50
0.00,0.33
0.00,0.33
0.00,0.50
0.00,0.17
0.00,0.50
0.00,0.20
0.00,0.50
0.00,0.33
0.00,1.00
0.00,1.00
0.00,0.50
0.00,0.67
0.00,0.20
0.00,0.00
0.00,0.67
0.00,1.00
0.00,0.14
0.00,1.00
0.00,0.75
0.00,0.33
0.00,0.60
0.00,0.00
0.00,0.25
0.00,0.29
0.00,0.20
0.00,0.33
0.00,0.67
0.00,0.50
0.00,1.00
0.00,0.75
0.00,0.25
0.00,0.33
0.00,0.50
0.00,0.33
0.00,0.00
0.00,0.33
0.00,0.67
0.00,0.44
0.00,0.67
0.00,0.60
0.00,0.20
0.00,0.20
0.00,0.50
0.00,0.25
0.00,0.00
0.00,1.00
0.00,0.17
0.00,0.50
0.00,0.67
0.00,0.22
0.00,1.00
0.00,0.67
0.00,0.25
0.00,0.00
0.00,0.25
0.00,0.20
0.00,0.50
0.00,0.50
0.00,0.25
0.00,0.25
0.00,0.67
0.00,1.00
0.00,0.33
0.00,0.25
0.00,0.33
0.00,0.33
0.00,0.29
0.00,0.33
0.00,0.00
0.00,0.33
0.00,1.00
0.00,1.00
0.00,0.00
0.00,0.33
0.00,0.50
0.00,0.25
0.00,0.50
0.00,0.00
0.00,0.50
0.00,0.00
0.00,0.25
0.00,0.50
0.00,1.00
0.00,0.20
0.00,0.00
0.00,1.00
0.00,0.43
0.00,1.00
0.00,0.60
0.00,0.33
0.00,1.00